year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
2036,,-1.5000000000000002,1.1666666666666665,-2.8333333333333335,-1.6666666666666667,-2.666666666666667,-0.16666666666666696,-0.3333333333333335,0.33333333333333304,-1.8333333333333335,1.3333333333333335,1.9999999999999996,-2.8333333333333335,-2.8333333333333335,1.4999999999999996,0.16666666666666652,-2.5,-0.8333333333333335,-1.8333333333333335,-1.5000000000000002,-0.8333333333333335,-2.8333333333333335,-0.8333333333333335,-0.8333333333333335,-1.6666666666666667,-0.3333333333333335,-1.8333333333333335,-0.3333333333333335,-2.666666666666667,-2.8333333333333335,-2.8333333333333335,0.5,-1.8333333333333335,-2.666666666666667,0.16666666666666652,1.0,-1.0000000000000002,-2.8333333333333335,-1.3333333333333335,-1.8333333333333335,-1.3333333333333335,-2.8333333333333335,0.5,-2.8333333333333335,-0.8333333333333335,-1.8333333333333335,-2.666666666666667,-2.8333333333333335,-1.1666666666666667,-2.8333333333333335,1.6666666666666665,-1.8333333333333335,-0.5,-1.3333333333333335,1.6666666666666665
2037,,-2.666666666666667,-0.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.8333333333333335,-1.6666666666666667,-0.666666666666667,-2.8333333333333335,0.0,1.8333333333333335,-1.8333333333333335,-1.8333333333333335,-0.666666666666667,0.6666666666666665,-2.0,-2.8333333333333335,-1.3333333333333335,-1.8333333333333335,-1.8333333333333335,-2.666666666666667,-1.6666666666666667,-2.666666666666667,0.16666666666666652,-2.5,-2.0,-0.8333333333333335,-1.6666666666666667,-1.8333333333333335,0.0,-1.8333333333333335,0.16666666666666652,-2.166666666666667,-2.666666666666667,-1.5000000000000002,-2.0,-1.8333333333333335,-1.8333333333333335,-2.666666666666667,-1.6666666666666667,1.0,-2.8333333333333335,-0.5,-0.3333333333333335,-0.666666666666667,-1.6666666666666667,-2.166666666666667,-0.3333333333333335,0.0,-1.5000000000000002,-1.3333333333333335,0.33333333333333304,0.5,0.5,2.8333333333333335
2038,,-1.6666666666666667,0.33333333333333304,-1.8333333333333335,-2.3333333333333335,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-0.666666666666667,-1.6666666666666667,0.0,-0.3333333333333335,0.0,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.3333333333333335,-0.16666666666666696,-1.8333333333333335,1.1666666666666665,1.1666666666666665,-1.8333333333333335,0.33333333333333304,-1.5000000000000002,-0.8333333333333335,-2.8333333333333335,-2.666666666666667,-2.8333333333333335,0.33333333333333304,-0.666666666666667,0.16666666666666652,-1.1666666666666667,-1.5000000000000002,1.9999999999999996,-0.8333333333333335,-2.666666666666667,2.1666666666666665,-1.8333333333333335,-1.1666666666666667,-2.8333333333333335,-0.8333333333333335,-2.5,-0.666666666666667,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.8333333333333335,-2.8333333333333335,-1.6666666666666667,0.0,-0.5,-2.8333333333333335,-0.5,-1.8333333333333335
2039,,-1.6666666666666667,-0.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.5,-1.0000000000000002,-0.5,1.6666666666666665,-2.8333333333333335,-1.8333333333333335,-0.3333333333333335,-0.5,0.16666666666666652,0.16666666666666652,-2.3333333333333335,-2.8333333333333335,0.16666666666666652,-1.3333333333333335,-2.8333333333333335,-2.8333333333333335,0.0,0.5,1.0,-0.3333333333333335,-2.8333333333333335,-0.5,-1.8333333333333335,-2.166666666666667,-1.8333333333333335,-0.8333333333333335,-0.16666666666666696,-2.8333333333333335,-2.8333333333333335,-1.0000000000000002,2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.8333333333333335,-0.8333333333333335,-1.0000000000000002,-2.666666666666667,-2.8333333333333335,-1.8333333333333335,0.6666666666666665,0.0,-1.8333333333333335,-2.8333333333333335,-1.0000000000000002,-0.8333333333333335,-0.666666666666667,-1.8333333333333335,-2.0,0.16666666666666652,-0.8333333333333335
2040,,-0.666666666666667,-1.3333333333333335,-1.8333333333333335,-2.8333333333333335,-0.8333333333333335,-2.5,-1.8333333333333335,0.33333333333333304,-2.0,0.0,0.16666666666666652,-0.8333333333333335,-2.8333333333333335,2.6666666666666665,-2.8333333333333335,-1.5000000000000002,-2.5,-2.8333333333333335,-1.8333333333333335,0.6666666666666665,-1.8333333333333335,-1.1666666666666667,-1.5000000000000002,-2.0,-1.3333333333333335,-2.3333333333333335,-2.8333333333333335,-1.3333333333333335,-1.8333333333333335,-0.16666666666666696,0.0,-0.8333333333333335,-1.5000000000000002,-2.8333333333333335,0.33333333333333304,-0.5,-2.8333333333333335,-1.1666666666666667,-0.8333333333333335,-1.8333333333333335,-1.3333333333333335,-2.8333333333333335,-1.3333333333333335,1.6666666666666665,-2.666666666666667,-2.5,-1.8333333333333335,0.33333333333333304,-0.8333333333333335,-2.8333333333333335,-2.5,-0.8333333333333335,2.4999999999999996,-0.666666666666667
2041,,-1.1666666666666667,-2.3333333333333335,-2.8333333333333335,-1.3333333333333335,-2.166666666666667,-1.8333333333333335,-2.8333333333333335,-1.5000000000000002,-2.3333333333333335,-0.3333333333333335,-0.16666666666666696,-2.166666666666667,-2.8333333333333335,1.1666666666666665,-1.8333333333333335,-1.0000000000000002,-2.8333333333333335,-1.6666666666666667,-0.666666666666667,-1.1666666666666667,-1.6666666666666667,0.0,-1.1666666666666667,-0.5,-1.0000000000000002,-0.16666666666666696,0.16666666666666652,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.8333333333333335,-1.1666666666666667,-2.8333333333333335,0.16666666666666652,-0.8333333333333335,-0.16666666666666696,-2.8333333333333335,-0.8333333333333335,-0.8333333333333335,-1.8333333333333335,-2.8333333333333335,-1.6666666666666667,-2.0,-2.166666666666667,1.6666666666666665,-2.8333333333333335,-2.8333333333333335,0.33333333333333304,0.16666666666666652,-1.1666666666666667,-1.6666666666666667,-1.3333333333333335,-1.5000000000000002
2042,,-2.0,1.9999999999999996,-2.8333333333333335,-2.8333333333333335,-0.8333333333333335,-2.5,0.16666666666666652,0.33333333333333304,-0.16666666666666696,-2.666666666666667,-2.5,-1.8333333333333335,-1.0000000000000002,-2.8333333333333335,-2.0,-1.6666666666666667,1.3333333333333335,-0.8333333333333335,-2.8333333333333335,-0.666666666666667,-2.8333333333333335,-0.8333333333333335,-0.8333333333333335,-1.0000000000000002,-2.666666666666667,-1.3333333333333335,-0.8333333333333335,-1.6666666666666667,-1.8333333333333335,-0.3333333333333335,1.1666666666666665,-0.5,-1.6666666666666667,-1.8333333333333335,-1.1666666666666667,0.16666666666666652,-1.8333333333333335,-2.8333333333333335,-0.8333333333333335,-1.8333333333333335,-2.166666666666667,-2.8333333333333335,-1.5000000000000002,0.16666666666666652,-0.8333333333333335,-2.8333333333333335,-2.8333333333333335,-0.16666666666666696,-1.0000000000000002,-2.0,-1.8333333333333335,-1.0000000000000002,-0.16666666666666696,-2.166666666666667
2043,,-0.16666666666666696,1.4999999999999996,-2.8333333333333335,-1.8333333333333335,-2.5,-2.8333333333333335,-2.8333333333333335,-2.666666666666667,-1.6666666666666667,-2.8333333333333335,-1.6666666666666667,0.0,-1.8333333333333335,0.16666666666666652,-1.8333333333333335,-0.8333333333333335,-1.8333333333333335,0.16666666666666652,-0.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.5000000000000002,-2.8333333333333335,-1.6666666666666667,-2.8333333333333335,-1.0000000000000002,-2.8333333333333335,-1.0000000000000002,-1.5000000000000002,-2.8333333333333335,-1.8333333333333335,-1.6666666666666667,0.16666666666666652,-0.8333333333333335,-0.8333333333333335,-1.8333333333333335,-0.8333333333333335,0.16666666666666652,-1.5000000000000002,-2.666666666666667,-2.8333333333333335,-2.0,1.0,-0.8333333333333335,-0.16666666666666696,-2.3333333333333335,1.0,-2.3333333333333335,-0.16666666666666696,2.6666666666666665,-2.8333333333333335,0.833333333333333,0.833333333333333,-1.6666666666666667
2044,,1.0,-1.8333333333333335,-2.8333333333333335,-1.1666666666666667,-1.8333333333333335,-2.0,0.0,-1.3333333333333335,-0.16666666666666696,-0.8333333333333335,-1.5000000000000002,-1.6666666666666667,-0.16666666666666696,-1.3333333333333335,-0.666666666666667,-2.8333333333333335,-1.1666666666666667,-2.8333333333333335,-1.0000000000000002,-2.3333333333333335,-2.666666666666667,-1.3333333333333335,-0.5,-1.3333333333333335,-2.666666666666667,-2.0,0.16666666666666652,-2.8333333333333335,1.3333333333333335,-1.8333333333333335,0.5,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,0.33333333333333304,3.9999999999999996,-0.666666666666667,-1.3333333333333335,-2.3333333333333335,-2.8333333333333335,3.6666666666666665,-2.0,0.6666666666666665,-2.8333333333333335,-1.8333333333333335,-2.5,-1.8333333333333335,-2.8333333333333335,1.0,-1.6666666666666667,-0.8333333333333335,-1.5000000000000002,-1.6666666666666667,-2.5
2045,,2.8333333333333335,0.16666666666666652,-2.666666666666667,-2.8333333333333335,-1.3333333333333335,-0.3333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.0,-1.6666666666666667,0.5,-2.0,-0.3333333333333335,-1.8333333333333335,-0.16666666666666696,-2.5,-2.8333333333333335,-1.0000000000000002,-1.8333333333333335,-0.16666666666666696,-0.3333333333333335,-0.8333333333333335,-2.3333333333333335,-2.8333333333333335,-2.5,-1.8333333333333335,-2.8333333333333335,-0.8333333333333335,1.1666666666666665,-2.0,-2.3333333333333335,0.833333333333333,-1.8333333333333335,-0.8333333333333335,0.33333333333333304,0.5,-2.3333333333333335,-1.1666666666666667,-1.6666666666666667,-1.6666666666666667,-0.16666666666666696,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-2.8333333333333335,0.0,-2.0,-1.8333333333333335,-1.1666666666666667
2046,,-1.1666666666666667,0.833333333333333,-0.16666666666666696,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-0.8333333333333335,-1.3333333333333335,-2.3333333333333335,-0.5,-1.6666666666666667,-1.5000000000000002,-1.5000000000000002,0.5,-1.8333333333333335,-1.5000000000000002,-2.3333333333333335,-2.666666666666667,-0.666666666666667,-2.0,-2.8333333333333335,-2.0,-2.666666666666667,-1.8333333333333335,-1.8333333333333335,-0.666666666666667,-0.666666666666667,-2.8333333333333335,1.0,-1.0000000000000002,-1.0000000000000002,-2.3333333333333335,-0.8333333333333335,-1.6666666666666667,0.833333333333333,-2.0,0.6666666666666665,-2.0,0.16666666666666652,-1.0000000000000002,0.6666666666666665,-0.16666666666666696,0.16666666666666652,0.16666666666666652,0.16666666666666652,-1.3333333333333335,0.0,-1.3333333333333335,-0.3333333333333335,-2.8333333333333335,1.4999999999999996,-1.8333333333333335,-2.5,-1.1666666666666667
2047,,-0.5,-1.0000000000000002,-2.3333333333333335,-2.8333333333333335,-1.8333333333333335,-2.8333333333333335,-1.6666666666666667,0.5,-2.5,-2.8333333333333335,-2.8333333333333335,-2.5,-2.8333333333333335,-1.3333333333333335,-0.8333333333333335,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-0.3333333333333335,-1.3333333333333335,-1.8333333333333335,0.16666666666666652,0.6666666666666665,0.6666666666666665,-1.1666666666666667,1.6666666666666665,-2.5,-2.8333333333333335,-2.8333333333333335,0.16666666666666652,-2.8333333333333335,-0.8333333333333335,-0.666666666666667,0.5,-1.8333333333333335,1.0,-2.666666666666667,-0.8333333333333335,3.1666666666666665,0.6666666666666665,-1.8333333333333335,-1.6666666666666667,1.1666666666666665,-1.6666666666666667,-1.8333333333333335,-2.5,-1.6666666666666667,-0.8333333333333335,-0.8333333333333335,-1.1666666666666667,-2.3333333333333335,-1.8333333333333335,-0.8333333333333335,-1.3333333333333335
2048,,-2.5,-2.8333333333333335,-1.8333333333333335,-2.8333333333333335,-0.8333333333333335,-1.8333333333333335,-2.0,-2.5,-2.666666666666667,-2.3333333333333335,0.16666666666666652,0.16666666666666652,-2.0,-0.5,-1.8333333333333335,-1.8333333333333335,-2.666666666666667,-1.3333333333333335,-1.8333333333333335,-2.8333333333333335,-1.1666666666666667,-1.1666666666666667,-1.1666666666666667,-2.3333333333333335,-2.5,-1.8333333333333335,-0.666666666666667,-1.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.3333333333333335,0.5,-1.6666666666666667,-0.8333333333333335,-2.8333333333333335,-0.5,-2.5,-2.0,-1.0000000000000002,-0.8333333333333335,-1.8333333333333335,1.3333333333333335,-2.8333333333333335,1.0,-1.0000000000000002,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.166666666666667,0.0,-1.0000000000000002,0.6666666666666665,0.33333333333333304,-1.8333333333333335
2049,,-1.1666666666666667,-2.8333333333333335,-1.6666666666666667,-2.8333333333333335,-2.166666666666667,-0.8333333333333335,-1.0000000000000002,-2.8333333333333335,-2.3333333333333335,2.6666666666666665,-1.8333333333333335,-0.8333333333333335,-1.8333333333333335,1.9999999999999996,0.16666666666666652,-1.0000000000000002,-1.3333333333333335,-2.8333333333333335,-1.0000000000000002,-1.8333333333333335,-1.3333333333333335,-1.6666666666666667,1.1666666666666665,0.0,-1.6666666666666667,-1.8333333333333335,-0.8333333333333335,-1.8333333333333335,-1.8333333333333335,0.16666666666666652,-1.6666666666666667,-2.8333333333333335,-2.666666666666667,-0.16666666666666696,-0.5,-1.8333333333333335,-2.166666666666667,-1.1666666666666667,-1.8333333333333335,-2.8333333333333335,-1.8333333333333335,-1.5000000000000002,-2.8333333333333335,-1.6666666666666667,-2.8333333333333335,-2.5,-0.3333333333333335,-1.5000000000000002,-1.6666666666666667,-0.666666666666667,1.8333333333333335,-1.5000000000000002,1.0,0.16666666666666652
2050,,-2.8333333333333335,3.9999999999999996,-2.8333333333333335,-2.8333333333333335,-0.8333333333333335,-2.0,-2.0,-1.8333333333333335,-1.3333333333333335,-2.8333333333333335,1.9999999999999996,-2.8333333333333335,-2.666666666666667,0.0,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,1.1666666666666665,-1.8333333333333335,-1.5000000000000002,-0.3333333333333335,-1.8333333333333335,-1.3333333333333335,-1.8333333333333335,-0.8333333333333335,-0.8333333333333335,-0.8333333333333335,-0.666666666666667,-0.5,-2.8333333333333335,0.16666666666666652,-0.3333333333333335,-1.8333333333333335,-0.5,-1.1666666666666667,-0.666666666666667,-2.8333333333333335,-2.0,0.33333333333333304,-2.8333333333333335,-2.8333333333333335,0.16666666666666652,0.16666666666666652,-2.8333333333333335,-1.8333333333333335,-2.666666666666667,-1.6666666666666667,-1.6666666666666667,-0.8333333333333335,-0.3333333333333335,0.5,0.33333333333333304,-1.8333333333333335,0.0
2051,,-2.666666666666667,3.1666666666666665,-1.1666666666666667,-2.8333333333333335,-0.8333333333333335,-2.0,-1.8333333333333335,-2.8333333333333335,-0.666666666666667,0.6666666666666665,-1.0000000000000002,-1.5000000000000002,-2.0,0.33333333333333304,-0.8333333333333335,-2.8333333333333335,-0.666666666666667,-2.3333333333333335,1.1666666666666665,-1.8333333333333335,-0.666666666666667,-2.8333333333333335,-1.8333333333333335,-1.1666666666666667,-2.666666666666667,-2.666666666666667,0.16666666666666652,-1.8333333333333335,-2.8333333333333335,-1.8333333333333335,-1.6666666666666667,-1.3333333333333335,-0.5,-2.8333333333333335,-0.16666666666666696,-1.3333333333333335,-2.3333333333333335,-2.0,-1.8333333333333335,-2.8333333333333335,-1.3333333333333335,0.33333333333333304,1.8333333333333335,-2.8333333333333335,1.1666666666666665,-2.8333333333333335,-1.8333333333333335,-2.8333333333333335,-0.8333333333333335,-2.3333333333333335,0.833333333333333,-2.0,0.0,-1.1666666666666667
2052,,-1.8333333333333335,-0.16666666666666696,-2.8333333333333335,-2.8333333333333335,-1.5000000000000002,-2.8333333333333335,-2.3333333333333335,-1.8333333333333335,-1.5000000000000002,1.8333333333333335,-2.666666666666667,-1.3333333333333335,-0.666666666666667,1.8333333333333335,-2.8333333333333335,-0.8333333333333335,-1.6666666666666667,-1.0000000000000002,-0.8333333333333335,-1.0000000000000002,-2.5,-0.3333333333333335,-2.0,1.4999999999999996,-1.8333333333333335,0.0,-2.8333333333333335,-1.8333333333333335,-1.3333333333333335,-2.8333333333333335,-1.1666666666666667,-1.8333333333333335,-1.3333333333333335,-1.8333333333333335,-1.3333333333333335,-2.5,1.4999999999999996,-1.8333333333333335,-0.8333333333333335,-1.8333333333333335,-0.16666666666666696,-2.3333333333333335,-1.8333333333333335,-2.8333333333333335,-0.8333333333333335,-2.8333333333333335,-1.5000000000000002,-1.8333333333333335,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.3333333333333335,-1.0000000000000002,-1.6666666666666667
2053,,-0.16666666666666696,-2.3333333333333335,-2.8333333333333335,-1.0000000000000002,-1.8333333333333335,-1.6666666666666667,-2.166666666666667,-1.5000000000000002,-1.3333333333333335,-2.0,-2.8333333333333335,0.16666666666666652,-1.0000000000000002,0.16666666666666652,-1.1666666666666667,-2.666666666666667,1.1666666666666665,-1.8333333333333335,1.1666666666666665,-0.8333333333333335,-1.8333333333333335,-2.166666666666667,-0.8333333333333335,-1.0000000000000002,-2.8333333333333335,-1.1666666666666667,-1.5000000000000002,-1.3333333333333335,-1.8333333333333335,-2.8333333333333335,-1.6666666666666667,-1.8333333333333335,-1.3333333333333335,-1.5000000000000002,-2.666666666666667,1.1666666666666665,-1.8333333333333335,-2.5,0.16666666666666652,-0.16666666666666696,-1.8333333333333335,-0.8333333333333335,0.16666666666666652,-2.666666666666667,-0.666666666666667,-2.8333333333333335,0.16666666666666652,-1.8333333333333335,-1.8333333333333335,-1.8333333333333335,-0.3333333333333335,-2.8333333333333335,-0.5,1.1666666666666665
2054,,-2.8333333333333335,1.1666666666666665,-1.8333333333333335,-2.3333333333333335,-2.8333333333333335,-2.8333333333333335,-0.8333333333333335,-2.8333333333333335,-1.6666666666666667,-1.6666666666666667,-1.8333333333333335,-0.8333333333333335,-2.5,-0.8333333333333335,-1.1666666666666667,1.0,-1.6666666666666667,0.0,-2.0,-1.3333333333333335,0.5,1.1666666666666665,-0.3333333333333335,-0.666666666666667,0.33333333333333304,-0.5,-2.666666666666667,-2.666666666666667,-0.16666666666666696,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.6666666666666667,-0.8333333333333335,0.5,-2.8333333333333335,-0.3333333333333335,-2.8333333333333335,-1.8333333333333335,-2.666666666666667,-2.0,-1.8333333333333335,-0.5,1.6666666666666665,0.16666666666666652,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,0.0,0.16666666666666652,-1.8333333333333335,-0.8333333333333335,-1.3333333333333335,2.6666666666666665
2055,,1.4999999999999996,-2.8333333333333335,-2.666666666666667,-2.8333333333333335,-0.8333333333333335,-2.5,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-0.3333333333333335,-0.5,-1.5000000000000002,-1.3333333333333335,-0.5,-2.8333333333333335,-2.8333333333333335,0.33333333333333304,-1.6666666666666667,-1.3333333333333335,-2.8333333333333335,-1.6666666666666667,-0.8333333333333335,-0.16666666666666696,-2.5,-2.8333333333333335,-0.5,-2.0,-1.3333333333333335,-0.5,-1.8333333333333335,-1.8333333333333335,-0.8333333333333335,-2.0,-2.8333333333333335,-0.8333333333333335,-2.8333333333333335,-2.0,-1.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.8333333333333335,-2.166666666666667,-0.8333333333333335,0.16666666666666652,1.3333333333333335,-1.5000000000000002,-0.8333333333333335,-2.8333333333333335,-2.5,0.0,-0.16666666666666696,0.6666666666666665,-0.8333333333333335,-1.5000000000000002
2056,,-2.8333333333333335,1.1666666666666665,-1.8333333333333335,-1.8333333333333335,-2.8333333333333335,-0.3333333333333335,-2.5,-0.8333333333333335,-1.5000000000000002,-1.5000000000000002,-2.8333333333333335,-0.5,-1.5000000000000002,-1.0000000000000002,1.8333333333333335,-2.5,-1.6666666666666667,-2.8333333333333335,0.0,-2.8333333333333335,0.6666666666666665,-2.8333333333333335,-2.5,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.8333333333333335,-0.8333333333333335,-2.0,-0.8333333333333335,-2.8333333333333335,-1.8333333333333335,-2.8333333333333335,-2.666666666666667,-1.5000000000000002,-2.666666666666667,-2.8333333333333335,-2.8333333333333335,-1.6666666666666667,-1.1666666666666667,-0.3333333333333335,-0.8333333333333335,-2.666666666666667,0.833333333333333,-2.8333333333333335,4.166666666666666,-0.16666666666666696,-1.8333333333333335,-2.3333333333333335,1.1666666666666665,1.9999999999999996,-2.666666666666667,-1.8333333333333335
2057,,-0.666666666666667,0.5,-2.8333333333333335,-1.8333333333333335,-0.16666666666666696,-1.8333333333333335,0.33333333333333304,-1.8333333333333335,0.16666666666666652,-1.5000000000000002,1.9999999999999996,0.0,-1.8333333333333335,0.16666666666666652,-1.6666666666666667,-1.8333333333333335,0.0,-0.16666666666666696,-2.8333333333333335,-0.8333333333333335,-1.8333333333333335,0.833333333333333,0.16666666666666652,-2.3333333333333335,0.0,-0.3333333333333335,-1.8333333333333335,-1.8333333333333335,-2.8333333333333335,2.8333333333333335,-0.3333333333333335,-0.8333333333333335,1.0,-1.1666666666666667,-2.8333333333333335,-0.16666666666666696,1.0,-0.8333333333333335,-2.0,-0.666666666666667,-2.8333333333333335,-0.8333333333333335,-1.8333333333333335,-2.3333333333333335,-1.8333333333333335,-2.8333333333333335,-1.8333333333333335,-1.0000000000000002,-2.8333333333333335,-0.666666666666667,-1.6666666666666667,-0.666666666666667,-2.666666666666667,-2.0
2058,,-1.8333333333333335,0.0,-0.8333333333333335,-0.3333333333333335,-2.8333333333333335,-0.8333333333333335,-0.16666666666666696,-2.8333333333333335,-0.3333333333333335,1.3333333333333335,1.3333333333333335,-1.5000000000000002,-0.3333333333333335,0.16666666666666652,-1.6666666666666667,-0.666666666666667,-2.666666666666667,-2.8333333333333335,-2.0,-2.8333333333333335,-0.8333333333333335,-2.5,-2.166666666666667,1.4999999999999996,-1.6666666666666667,-1.1666666666666667,-1.5000000000000002,-2.3333333333333335,-0.8333333333333335,-1.8333333333333335,-0.5,-2.666666666666667,-1.0000000000000002,0.33333333333333304,-1.1666666666666667,-2.166666666666667,-0.8333333333333335,-0.5,-0.8333333333333335,-1.0000000000000002,-0.8333333333333335,-2.8333333333333335,-1.1666666666666667,-1.6666666666666667,-2.166666666666667,-2.166666666666667,-2.666666666666667,-1.5000000000000002,-2.5,-2.8333333333333335,-1.6666666666666667,-1.5000000000000002,-1.0000000000000002,0.16666666666666652
2059,,-2.3333333333333335,-1.3333333333333335,-2.166666666666667,-1.8333333333333335,-1.8333333333333335,-1.6666666666666667,-0.666666666666667,-2.5,-2.8333333333333335,-1.5000000000000002,-0.5,-1.8333333333333335,-1.5000000000000002,-2.0,0.33333333333333304,-1.8333333333333335,-0.16666666666666696,-1.8333333333333335,0.16666666666666652,-0.8333333333333335,-1.8333333333333335,-0.5,-0.8333333333333335,-0.8333333333333335,-2.8333333333333335,-2.8333333333333335,0.0,0.16666666666666652,-2.8333333333333335,-2.5,1.1666666666666665,-0.8333333333333335,-2.666666666666667,0.833333333333333,-1.8333333333333335,1.1666666666666665,-1.8333333333333335,-2.8333333333333335,-0.8333333333333335,-1.8333333333333335,-2.8333333333333335,0.0,-2.3333333333333335,-1.0000000000000002,-2.8333333333333335,-2.5,-0.666666666666667,-2.8333333333333335,-2.166666666666667,-2.5,-0.666666666666667,-0.16666666666666696,0.33333333333333304,-0.5
